,osm_id,timestamp,name,type,geometry,lat,long
126,-1971109333.0,,University Cooperative School,school,POINT (-122.3132285 47.669651),47.669651,-122.3132285
127,-1967315206.0,,City University of Seattle,college,POINT (-122.3444624 47.6177084),47.6177084,-122.3444624
128,-1967235148.0,,Morningside Academy,school,POINT (-122.3366058 47.6172717),47.6172717,-122.3366058
129,-1855136469.0,,UW College of Built Environments,college,POINT (-122.312389 47.6549477),47.6549477,-122.312389
130,-1831827798.0,,La Escuela Bilingual School,school,POINT (-122.3247694 47.6800197),47.6800197,-122.3247694
131,-1800416504.0,,The Center School,school,POINT (-122.3510733 47.6213897),47.6213897,-122.3510733
132,-1670800411.0,,Hwang's Taekwondo,school,POINT (-122.0974437 47.6638626),47.6638626,-122.0974437
133,-1661696854.0,,DeVry University Bellevue (Seattle) Center,university,POINT (-122.1955761 47.6158976),47.6158976,-122.1955761
134,-1625415790.0,,Blue Ribbon Cooking,school,POINT (-122.3292157 47.6430253),47.6430253,-122.3292157
135,-1516344107.0,,The Exploration Academy,school,POINT (-122.3357845 47.6606547),47.6606547,-122.3357845
136,-1326759516.0,,Everest College,college,POINT (-122.2315124 47.4696164),47.4696164,-122.2315124
137,-1321042137.0,,Kumon Math and Reading Center,school,POINT (-122.2006075 47.6753004),47.6753004,-122.2006075
138,-1001549113.0,,Singapore Math Club,school,POINT (-122.140851 47.60825),47.60825,-122.140851
139,-776893154.0,,Central Washington University,college,POINT (-122.3267662 47.817045),47.817045,-122.3267662
140,-523647851.0,,Emerald City School,college,POINT (-122.3465342 47.6186933),47.6186933,-122.3465342
141,-290694654.0,,United Indians of All Tribes,school,POINT (-122.4179814 47.6680295),47.6680295,-122.4179814
142,-67568406.0,,Renton Prep Christian School,school,POINT (-122.2018107 47.4811683),47.4811683,-122.2018107
143,-58129819.0,,CityUniversity Seattle,college,POINT (-122.2116211 47.4691664),47.4691664,-122.2116211
144,-56462302.0,,Bai He Chinese School,school,POINT (-122.209301 47.4805938),47.4805938,-122.209301
145,-51198007.0,,ELS Language Center in Seattle,school,POINT (-122.3265987 47.6153789),47.6153789,-122.3265987
146,-29422105.0,,The Goddard School,school,POINT (-122.0404853 47.5510367),47.5510367,-122.0404853
147,-29413206.0,,The Goddard School,school,POINT (-122.041742 47.5509928),47.5509928,-122.041742
148,-25694332.0,,Issaquah Rock School,school,POINT (-122.0367799 47.532309),47.532309,-122.0367799
149,-25694330.0,,Kaleidoscope School of Music,school,POINT (-122.0368463 47.5323103),47.5323103,-122.0368463
150,10402209.0,,Kohlwes Education Center,school,POINT (-122.2209598 47.4742701),47.4742701,-122.2209598
